Date,Grade,Team 1,Elo_1,G_1,P_1,Sc_1,Team 2,Elo_2,G_2,P_2,Sc_2,Home,Margin,Weight,T1_win_odds,Result_T1,Result_T2
19-05-2024,Secondary,Offaly,1529,3,24,33,Kerry,1335,0,15,15,Y,2,50,82.98%,17,-17
25-05-2024,Secondary,Kerry,1318,3,13,22,Meath,1102,1,10,13,Y,1.692307692,50,84.36%,13,-13
25-05-2024,Secondary,Down,1207,3,25,34,Offaly,1546,5,23,38,Y,1.117647059,50,29.52%,-16,16
25-05-2024,Secondary,Westmeath,1451,2,26,32,Laois,1649,0,16,16,Y,2,50,44.50%,56,-56
26-05-2024,Provincial,Kilkenny,2188,1,24,27,Wexford,1879,4,20,32,Y,1.185185185,60,89.22%,-63,63
26-05-2024,Provincial,Galway,2091,1,24,27,Dublin,1865,2,26,32,Y,1.185185185,60,84.96%,-60,60
26-05-2024,Provincial,Antrim,1529,4,22,34,Carlow,1448,2,22,28,Y,1.214285714,60,74.34%,19,-19
26-05-2024,Provincial,Limerick,2367,0,30,30,Waterford,1927,2,14,20,Y,1.5,60,93.80%,6,-6
26-05-2024,Provincial,Tipperary,1998,0,24,24,Clare,2172,1,24,27,Y,1.125,60,47.24%,-32,32
02-06-2024,Secondary,Derry,1222,1,22,25,Kildare,1340,4,21,33,N,1.32,50,36.74%,-24,24
02-06-2024,Secondary,Donegal,1086,3,17,26,Mayo,913,0,22,22,N,1.181818182,50,68.93%,18,-18
02-06-2024,Secondary,Fermanagh,549,3,22,31,Longford,422,2,20,26,N,1.192307692,50,64.22%,21,-21
08-06-2024,Provincial,Kilkenny,2125,3,28,37,Dublin,1925,1,18,21,N,1.761904762,60,71.53%,30,-30
08-06-2024,Secondary,Laois,1593,0,26,26,Offaly,1562,3,23,32,Y,1.230769231,50,69.71%,-43,43
09-06-2024,Provincial,Limerick,2373,1,26,29,Clare,2204,1,20,23,N,1.260869565,60,68.53%,24,-24
15-06-2024,All-Ireland,Laois,1550,0,20,20,Wexford,1942,0,32,32,Y,1.6,80,24.70%,-32,32
15-06-2024,All-Ireland,Offaly,1605,3,19,28,Cork,2177,4,25,37,Y,1.321428571,80,12.53%,-13,13
22-06-2024,All-Ireland,Clare,2180,2,28,34,Wexford,1974,1,19,22,N,1.545454545,80,72.08%,35,-35
22-06-2024,All-Ireland,Dublin,1895,0,21,21,Cork,2190,0,26,26,N,1.238095238,80,20.45%,-20,20
06-07-2024,All-Ireland,Kilkenny,2155,2,16,22,Clare,2215,0,24,24,N,1.090909091,80,43.14%,-38,38
07-07-2024,All-Ireland,Limerick,2397,0,29,29,Cork,2210,1,28,31,N,1.068965517,80,70.29%,-60,60
21-07-2024,All-Ireland,Clare,2253,3,29,38,Cork,2270,1,34,37,N,1.027027027,80,48.04%,43,-43
04-02-2023,League,Wexford,1972,0,18,18,Galway,2098,0,23,23,Y,1.277777778,40,52.76%,-27,27
04-02-2023,League,Cork,2088,2,17,23,Limerick,2356,0,22,22,Y,1.045454545,40,36.74%,26,-26
04-02-2023,League,Antrim,1550,0,15,15,Kilkenny,2137,1,18,21,Y,1.4,40,11.79%,-7,7
04-02-2023,League,Tipperary,1951,2,32,38,Laois,1404,0,18,18,Y,2,40,96.12%,3,-3
04-02-2023,League,Carlow,1419,0,11,11,Kildare,1296,0,25,25,Y,2,40,77.85%,-62,62
04-02-2023,League,Derry,1203,0,13,13,Kerry,1395,2,22,28,Y,2,40,45.18%,-36,36
04-02-2023,League,Meath,1064,2,24,30,Wicklow,801,2,14,20,Y,1.5,40,87.01%,8,-8
04-02-2023,League,Donegal,987,1,16,19,Sligo,873,0,15,15,Y,1.266666667,40,77.13%,12,-12
04-02-2023,League,Tyrone,964,1,26,29,London,889,3,18,27,Y,1.074074074,40,73.81%,11,-11
04-02-2023,League,Louth,442,1,16,19,Armagh,773,3,18,27,Y,1.421052632,40,30.29%,-17,17
04-02-2023,League,Monaghan,567,2,13,19,Fermanagh,402,1,14,17,Y,1.117647059,40,81.01%,8,-8
04-02-2023,League,Mayo,971,0,17,17,Roscommon,905,0,17,17,Y,1,40,73.00%,-9,9
04-02-2023,League,Longford,373,0,14,14,Cavan,-37,1,13,16,Y,1.142857143,40,92.95%,-42,42
04-02-2023,League,Warwickshire,450,3,6,15,Leitrim,329,1,21,24,Y,1.6,40,77.70%,-50,50
05-02-2023,League,Clare,2015,4,27,39,Westmeath,1576,0,14,14,Y,2,40,93.78%,5,-5
05-02-2023,League,Waterford,2011,2,19,25,Dublin,1823,3,16,25,Y,1,40,82.59%,-13,13
05-02-2023,League,Down,1289,0,18,18,Offaly,1481,0,21,21,Y,1.166666667,40,45.18%,-21,21
11-02-2023,League,Limerick,2330,1,27,30,Clare,2020,2,18,24,Y,1.25,40,89.27%,5,-5
11-02-2023,League,Laois,1401,2,19,25,Waterford,1998,3,21,30,Y,1.2,40,11.32%,-5,5
11-02-2023,League,Armagh,790,0,22,22,Monaghan,575,2,17,23,Y,1.045454545,40,84.30%,-35,35
11-02-2023,League,Cavan,5,2,20,26,Warwickshire,400,2,9,15,Y,1.733333333,40,24.45%,52,-52
11-02-2023,League,Leitrim,379,3,21,30,Lancashire,262,3,16,25,Y,1.2,40,77.37%,11,-11
12-02-2023,League,Westmeath,1571,1,15,18,Wexford,1945,2,23,29,Y,1.611111111,40,26.28%,-17,17
12-02-2023,League,Galway,2125,3,22,31,Cork,2114,4,24,36,Y,1.161290323,40,67.73%,-31,31
12-02-2023,League,Kilkenny,2144,1,21,24,Tipperary,1954,2,24,30,Y,1.25,40,82.72%,-41,41
12-02-2023,League,Dublin,1836,0,28,28,Antrim,1543,2,19,25,Y,1.12,40,88.49%,5,-5
12-02-2023,League,Kerry,1431,0,18,18,Carlow,1357,1,13,16,Y,1.125,40,73.72%,12,-12
12-02-2023,League,Kildare,1358,1,17,20,Down,1268,0,19,19,Y,1.052631579,40,75.12%,10,-10
12-02-2023,League,Offaly,1502,0,33,33,Derry,1167,1,15,18,Y,1.833333333,40,90.32%,7,-7
12-02-2023,League,London,878,2,13,19,Donegal,999,1,18,21,Y,1.105263158,40,53.33%,-24,24
12-02-2023,League,Wicklow,793,0,15,15,Tyrone,975,0,12,12,Y,1.25,40,46.32%,27,-27
12-02-2023,League,Sligo,861,1,13,16,Meath,1072,0,22,22,Y,1.375,40,43.02%,-24,24
12-02-2023,League,Fermanagh,394,2,18,24,Mayo,962,2,16,22,Y,1.090909091,40,12.73%,38,-38
12-02-2023,League,Roscommon,914,0,15,15,Louth,425,2,16,22,Y,1.466666667,40,94.99%,-56,56
19-02-2023,League,Meath,1096,1,23,26,Donegal,1023,0,16,16,Y,1.625,40,73.63%,17,-17
25-02-2023,League,Dublin,1841,0,24,24,Tipperary,1995,2,23,29,Y,1.208333333,40,49.54%,-24,24
25-02-2023,League,Kerry,1443,1,18,21,Offaly,1509,0,22,22,Y,1.047619048,40,59.55%,-25,25
25-02-2023,League,Warwickshire,348,1,6,9,Longford,331,2,10,16,Y,1.777777778,40,68.33%,-49,49
25-02-2023,League,Lancashire,251,3,11,20,Cavan,57,0,14,14,N,1.428571429,40,70.96%,17,-17
26-02-2023,League,Waterford,2003,1,22,25,Antrim,1538,0,17,17,Y,1.470588235,40,94.44%,3,-3
26-02-2023,League,Laois,1396,1,18,21,Kilkenny,2103,0,34,34,Y,1.619047619,40,7.14%,-5,5
26-02-2023,League,Cork,2145,2,21,27,Westmeath,1554,0,21,21,Y,1.285714286,40,96.81%,2,-2
26-02-2023,League,Wexford,1962,1,18,21,Clare,2015,6,25,43,Y,2,40,60.99%,-49,49
26-02-2023,League,Galway,2094,0,19,19,Limerick,2335,0,24,24,Y,1.263157895,40,39.67%,-20,20
26-02-2023,League,Carlow,1345,5,24,39,Down,1258,1,19,22,Y,1.772727273,40,74.87%,18,-18
